id,className,a-index,inDeg,isKey?,OSE
503,org.jhotdraw.test.samples.javadraw.JavaDrawAppletTest,23,0,0,0
504,org.jhotdraw.standard.ToolButton,27,4,0,1.698384868
505,org.jhotdraw.framework.Handle,46.76923,17,1,19.67380356
506,org.jhotdraw.samples.javadraw.BouncingDrawing,46.42857,4,0,0.189924656
507,org.jhotdraw.util.CollectionsFactory,31.88889,56,2,48.81709971
508,org.jhotdraw.test.figures.BorderToolTest,43.5,0,0,0
509,org.jhotdraw.test.standard.SingleFigureEnumeratorTest,32,0,0,0
510,org.jhotdraw.test.samples.nothing.NothingSuite,0,0,0,0
511,org.jhotdraw.test.standard.BringToFrontCommandTest,41,0,0,0
512,org.jhotdraw.test.contrib.TextAreaToolTest,43.666668,0,0,0
513,org.jhotdraw.standard.AbstractHandle,47.5,21,2,11.77814324
514,org.jhotdraw.test.contrib.CTXWindowMenuTest,30.333334,0,0,0
515,org.jhotdraw.test.contrib.MiniMapViewTest,50,0,0,0
516,org.jhotdraw.test.util.UndoManagerTest,14,0,0,0
517,org.jhotdraw.samples.javadraw.Animator,53,3,0,0.524329182
518,org.jhotdraw.contrib.dnd.DNDFiguresTransferable,8.333333,3,0,0.263773004
519,org.jhotdraw.contrib.zoom.ScalingGraphics,3,3,0,0.480831564
520,org.jhotdraw.applet.DrawApplet,50.857143,3,2,1.312791581
521,org.jhotdraw.test.util.FillerTest,2,0,0,0
522,org.jhotdraw.figures.ImageFigure,30.9,3,0,0.380808664
523,org.jhotdraw.util.StorableOutput,27.666666,40,0,11.39720601
524,org.jhotdraw.standard.SouthWestHandle,59.833332,1,0,0.061298225
525,org.jhotdraw.test.contrib.WindowMenuTest,31,0,0,0
526,org.jhotdraw.standard.PasteCommand.UndoActivity,35,8,0,0.442155804
527,org.jhotdraw.standard.ChangeConnectionStartHandle.UndoActivity,40.2,1,0,0.030070824
528,org.jhotdraw.contrib.html.StandardDisposableResourceHolder,7,1,0,0.044381152
529,org.jhotdraw.test.AllTests,1,0,0,0
530,org.jhotdraw.samples.javadraw.AnimationDecorator,48,2,0,0.277336614
531,org.jhotdraw.test.figures.ConnectedTextToolTest,44,0,0,0
532,org.jhotdraw.util.PaletteIcon,8,2,0,1.181953886
533,org.jhotdraw.util.collections.jdk11.MapWrapper,5,2,2,0.274926546
534,org.jhotdraw.test.util.ReverseListEnumeratorTest,29.5,0,0,0
535,org.jhotdraw.figures.ArrowTip,27.5,5,0,1.184487313
536,org.jhotdraw.test.samples.nothing.NothingAppletTest,14,0,0,0
537,org.jhotdraw.test.figures.FigureAttributesTest,8,0,0,0
538,org.jhotdraw.test.contrib.CompositeFigureCreationToolTest,41.666668,0,0,0
539,org.jhotdraw.contrib.MDIDesktopManager,12,1,0,0.367704781
540,org.jhotdraw.test.util.UndoableAdapterTest,53.5,0,0,0
541,org.jhotdraw.test.figures.PolyLineHandleTest,37.666668,0,0,0
542,org.jhotdraw.test.standard.ConnectionHandleTest,39.2,0,0,0
543,org.jhotdraw.test.standard.StandardDrawingTest,22,0,0,0
544,org.jhotdraw.test.figures.LineFigureTest,8,0,0,0
