id,className,a-index,inDeg,isKey?,OSE
68,org.mars_sim.msp.core.resource.TestAmountResourcePhaseStorage,68.666664,0,0,0
69,org.mars_sim.msp.config.model.construction.descriptors.PartDescriptor,0,0,0,0
70,org.mars_sim.msp.core.structure.building.function.Management,97.666664,2,2,0.718079431
71,org.mars_sim.msp.core.person.ai.task.CollectMinedMinerals,85.10526,1,0,0.022901136
72,org.mars_sim.msp.config.model.malfunction.MalfunctionList,14.333333,2,2,0.032208757
73,org.mars_sim.msp.config.model.manufacturing.PartSalvage,2,1,2,0.159563907
74,org.mars_sim.msp.core.IntPoint,24.90909,21,2,7.356399762
75,org.mars_sim.msp.core.person.ai.task.WalkingSteps,89.8,2,0,0.869665425
76,org.mars_sim.msp.config.model.types.ProcessDefaultType,0,0,0,0
77,org.mars_sim.msp.ui.swing.unit_window.structure.ManufacturePanel,44.42857,4,2,0.123155377
78,org.mars_sim.msp.config.model.settlement.PartPackage,8,1,0,0.092379104
79,org.mars_sim.msp.ui.swing.tool.monitor.MonitorModel,13,11,2,0.464540161
80,org.mars_sim.msp.config.model.medical.Treatment,2,1,0,0.104202788
81,org.mars_sim.msp.core.resource.AmountResourceStorage,52.25,2,0,2.679425344
82,org.mars_sim.msp.core.Coordinates,68.03846,110,1,51.03057083
83,org.mars_sim.msp.config.model.vehicle.descriptors.CapacityDescriptor,0,0,0,0
84,org.mars_sim.msp.ui.swing.tool.map.EllipseLayer,32.57143,7,2,0.212848702
85,org.mars_sim.msp.ui.swing.unit_display_info.EquipmentDisplayInfoBean,53.6,1,0,0.007240167
86,org.mars_sim.msp.config.model.medical.RecoveryTime,8,1,0,0.035818256
87,org.mars_sim.msp.config.model.medical.descriptors.TreatmentListDescriptor,0,0,0,0
88,org.mars_sim.msp.core.Airlock,74,17,0,5.884765301
89,org.mars_sim.msp.config.model.settlement.descriptors.ResupplyMissionDescriptor,0,0,0,0
90,org.mars_sim.msp.ui.swing.unit_window.structure.building.BuildingPanelPowerStorage,39.75,1,0,0.01231454
91,org.mars_sim.msp.ui.swing.unit_window.structure.TabPanelScience.AchievementTableModel,81.75,1,2,0.025478639
92,org.mars_sim.msp.core.UnitManagerListener,22.75,12,0,0.228147207
93,org.mars_sim.msp.ui.swing.tool.mission.create.LeadResearcherPanel,60.42857,1,0,0.065765508
