id,className,a-index,inDeg,isKey?,OSE
85,org.apache.jmeter.reporters.graphPanel,2,1,0,0.09581256
86,org.apache.jmeter.processor.gui.AbstractPreProcessorGui,25,0,0,0
87,org.apache.jmeter.util.SSLManager,21.8,3,0,0.270061284
88,org.apache.jmeter.testbeans.gui.FieldStringEditor.Test,3.5,0,2,0
89,org.apache.jmeter.resources.PackageTest,0,0,0,0
90,org.apache.jmeter.gui.util.JMeterMenuBar,19.4,2,0,0.86407219
91,org.apache.jmeter.timers.Timer,14,2,0,0.093042467
92,org.apache.jmeter.threads.TestCompiler.Test,12,0,2,0
93,org.apache.jmeter.gui.action.Cut,20.5,0,0,0
94,org.apache.jmeter.util.JMeterVersion,51,1,0,3.37372086
95,org.apache.jmeter.util.keystore.PKCS12KeyStore,5,0,0,0
96,org.apache.jmeter.engine.util.SimpleVariable,13,1,0,0.194118096
97,org.apache.jmeter.config.ConfigElement,10.5,2,0,0.467538376
98,org.apache.jmeter.testbeans.gui.GenericTestBeanCustomizer,20,4,0,0.290532665
99,org.apache.jmeter.threads.TestCompiler.ObjectPair,38,1,0,0.107631172
100,org.apache.jmeter.gui.action.LookAndFeelCommand,36.333332,0,0,0
101,org.apache.jmeter.gui.action.CheckDirty,19.875,6,0,0.282042426
102,org.apache.jmeter.testbeans.gui.ComboStringEditor.Test,5,1,2,0.035024641
103,org.apache.jmeter.gui.action.AddToTree,36.5,0,0,0
104,org.apache.jmeter.testbeans.gui.ComboStringEditor,5.3333335,4,2,1.452340088
105,org.apache.jmeter.util.JsseSSLManager.WrappedX509KeyManager,4.5,1,2,0.047720922
106,org.apache.jmeter.control.IfController,19.2,2,0,0.287430882
107,org.apache.jmeter.gui.action.CreateFunctionDialog,10,0,0,0
108,org.apache.jmeter.control.gui.AbstractControllerGui,15.75,3,0,0.145481556
109,org.apache.jmeter.gui.action.GlobalMouseListener,15,1,0,0.043310722
110,org.apache.jmeter.testelement.property.NullProperty,28.166666,4,0,1.324022422
111,org.apache.jmeter.gui.JMeterFileFilter,7,1,0,0.175778432
112,org.apache.jmeter.gui.util.JDateField.KeyFocus,3,1,0,0.20273543
113,org.apache.jmeter.reporters.gui.ResultSaverGui,31,0,0,0
114,org.apache.jmeter.visualizers.RunningSample,16.5,2,0,0.655528448
115,org.apache.jmeter.control.NextIsNullException,18,4,0,1.675024308
116,org.apache.jmeter.gui.NamePanel,31.75,3,0,2.131258295
117,org.apache.jmeter.gui.OnErrorPanel,20,1,0,0.144695155
118,org.apache.jmeter.reporters.ResultCollector,17.7,4,2,0.616862611
119,org.apache.jmeter.testbeans.gui.FieldStringEditor,5.5,2,0,0.204851396
120,org.apache.jmeter.gui.util.ButtonPanel,51,0,0,0
121,org.apache.jmeter.engine.ClientJMeterEngine,10.75,2,2,0.077012329
122,org.apache.jmeter.gui.action.Remove,21,0,0,0
123,org.apache.jmeter.testelement.property.CollectionProperty,23.7,9,0,3.236114971
124,org.apache.jmeter.threads.JMeterThread.IterationListener,12.666667,1,0,0.028836292
125,org.apache.jmeter.engine.JMeterEngineException,9,6,0,1.684878966
126,org.apache.jmeter.ProxyAuthenticator,24,1,0,0.102948031
127,org.apache.jmeter.testbeans.gui.ComboStringEditor.UniqueObject,4,2,0,1.453004561
128,org.apache.jmeter.gui.UnsharedComponent,10,1,0,0.047720922
129,org.apache.jmeter.functions.Function,13.714286,4,0,0.769937949
130,org.apache.jmeter.testelement.property.FunctionProperty,20.833334,2,0,0.168196417
131,org.apache.jmeter.config.gui.ArgumentsPanel.Test,8.5,0,0,0
132,org.apache.jmeter.testelement.PackageTest,12.8,0,2,0
133,org.apache.jmeter.gui.util.MenuInfo,20,1,0,2.234132844
134,org.apache.jmeter.testelement.property.PackageTest,13.857142,0,0,0
135,org.apache.jmeter.config.gui.LoginConfigGui,35.2,0,0,0
136,org.apache.jmeter.gui.tree.JMeterCellRenderer,15,1,0,0.08881485
137,org.apache.jmeter.gui.action.Close,25.166666,0,0,0
138,org.apache.jmeter.testbeans.gui.WrapperEditor,21.333334,2,0,0.240219163
139,org.apache.jmeter.NewDriver,24,1,0,0.048316053
140,org.apache.jmeter.gui.util.FilePanel,8.5,1,2,0.144695155
141,org.apache.jmeter.testelement.OnErrorTestElement,16,2,0,0.353148382
142,org.apache.jmeter.gui.MainFrame.WindowHappenings,15.5,1,0,0.043310722
143,org.apache.jmeter.util.NameUpdater,17,2,0,0.202316363
144,org.apache.jmeter.save.SaveServiceConstants,12.5,2,0,0.526341445
145,org.apache.jmeter.samplers.Remoteable,12.333333,3,0,0.249248943
146,org.apache.jmeter.processor.PreProcessor,10.5,2,0,0.105707235
147,org.apache.jmeter.save.TestElementSaver,26.6,1,0,0.086937282
148,org.apache.jmeter.gui.action.EditCommand,29,0,0,0
149,org.apache.jmeter.control.IfController.Test,23.25,0,0,0
150,org.apache.jmeter.util.JMeterUtils,20,48,2,36.40980919
151,org.apache.jmeter.threads.JMeterContext,23.666666,12,0,19.64835943
152,org.apache.jmeter.engine.LagDetector,0,0,0,0
153,org.apache.jmeter.testelement.property.TestElementProperty,21.7,8,2,1.628236205
154,org.apache.jmeter.util.JsseSSLManager,5.5,0,0,0
155,org.apache.jmeter.reporters.gui.SummariserGui,27.25,0,0,0
156,org.apache.jmeter.gui.util.HorizontalPanel,6.5,2,2,0.339104713
157,org.apache.jmeter.util.NamedObject,0,0,0,0
158,org.apache.jmeter.visualizers.Visualizer,13.25,3,0,0.442456786
159,org.apache.jmeter.visualizers.gui.AbstractVisualizer,36.2,0,0,0
160,org.apache.jmeter.assertions.AssertionResult,16.25,4,0,7.639852051
161,org.apache.jmeter.gui.action.AbstractAction,22.333334,8,1,0.614864202
162,org.apache.jmeter.reporters.ResultAction,11.6,1,2,0.06078792
163,org.apache.jmeter.threads.ThreadGroup,22.09091,5,1,1.366338532
164,org.apache.jmeter.gui.action.Save.Test,17.666666,0,0,0
